TOTAL,100106029
the,6187925
of,2941786
and,2682874
to,2560344
a,2150872
in,1883290
that,1115377
it,1089558
is,998857
was,923972
i,905318
for,851722
's,807305
on,724195
you,695595
he,681374
be,664778
with,652050
as,517783
by,513075
at,478177
have,473691
are,470949
this,463235
not,462776
but,456071
had,445396
his,433594
they,433475
from,413532
she,380284
which,372031
or,370855
we,358792
an,344045
n't,332856
there,327967
her,327009
were,322824
one,291402
do,280694
been,268723
all,262447
their,260919
has,259443
would,255198
will,254563
what,249481
if,237101
can,236314
when,214277
so,212157
no,209941
said,209534
who,206627
more,201864
about,197115
up,185107
them,173414
some,171368
could,168387
him,165014
into,163469
its,163105
then,160823
two,156111
out,155349
time,154973
like,153846
only,152903
my,152626
did,143428
other,142134
me,139025
your,138334
now,137812
over,132276
just,129547
may,128513
these,125442
new,125206
also,124884
people,124156
any,124108
know,123272
very,123081
see,118772
first,118699
well,117457
after,117138
should,111236
than,108835
where,108615
back,102325
how,101508
get,99505
most,98758
way,96279
down,96019
our,95001
made,94386
got,93195
much,92142
think,91851
work,91352
between,90664
go,90540
years,90224
er,90078
many,89659
've,89148
being,89065
those,88862
before,88275
right,87631
because,85183
through,84076
're,83504
yeah,83382
good,80795
three,79811
make,79479
us,78198
such,75524
still,74771
year,73773
'll,72591
must,72571
last,72179
even,72074
take,71735
own,71142
too,70164
off,70163
here,69947
come,69524
both,68806
does,68737
say,68529
oh,68435
used,66970
'd,66762
going,66413
'm,65789
erm,63196
use,62932
government,62268
day,62251
man,62098
might,61810
same,61409
under,61032
yes,60612
however,60498
put,59633
world,59031
another,58188
want,57547
thought,56876
while,56637
life,56624
again,56229
against,56208
never,55899
need,55788
old,54607
look,54362
home,52458
something,52452
mr,52394
long,51474
house,50925
why,50877
each,50797
part,50465
since,50219
end,49649
number,49377
out_of,49038
found,48923
place,48649
different,48373
went,48338
little,48101
really,48086
',47416
came,47171
left,47087
children,46604
local,46363
within,46274
always,46228
without,46180
four,46125
around,45286
great,45215
give,45111
set,45035
system,44673
small,44451
mean,44093
during,44013
although,43635
case,43276
next,43139
things,42426
find,42301
social,42259
given,41864
group,41546
second,41453
quite,41169
until,40784
five,40738
party,40306
point,40273
every,40137
company,40118
women,39916
says,39773
later,39496
important,39265
took,39159
state,39112
high,38925
men,38887
away,38747
information,38659
1,38384
per_cent,38205
public,38003
help,37969
head,37906
national,37740
often,37640
seen,37624
school,37538
money,37367
told,37236
fact,36970
night,36529
further,36273
better,35969
british,35793
business,35758
less,35669
taken,35550
done,35473
hand,35345
having,35274
thing,35209
looked,35178
london,35159
area,35143
water,35077
perhaps,35039
face,34976
best,34904
mm,34790
form,34509
family,34488
general,34422
2,34394
though,34387
already,34292
possible,34178
nothing,34064
early,34043
large,33768
yet,33752
young,33609
side,33535
asked,33420
whether,33169
days,33066
ca,33045
called,33041
john,32841
enough,32593
development,32409
week,32216
such_as,32060
round,32037
power,32028
change,32011
country,31905
almost,31588
council,31344
himself,31082
of_course,30942
room,30920
tell,30773
service,30644
political,30563
far,30499
able,30410
six,30375
become,30364
open,30284
market,30078
times,29910
whole,29855
support,29833
half,29780
eyes,29702
members,29677
working,29251
control,29111
major,29087
problem,28991
doing,28774
court,28748
towards,28600
mind,28474
anything,28321
others,28255
felt,28040
war,27900
car,27873
police,27853
keep,27809
full,27796
making,27769
either,27766
held,27753
report,27710
interest,27608
once,27543
problems,27492
act,27467
road,27401
up_to,27325
probably,27303
available,27184
labour,27108
law,27033
research,26992
following,26985
am,26867
level,26769
show,26744
saw,26727
looking,26638
feel,26390
today,26342
name,26304
mother,26250
past,26241
question,26219
let,26098
knew,26082
education,26007
actually,25990
policy,25969
ever,25904
known,25822
a_few,25781
above,25748
at_least,25713
office,25682
big,25578
clear,25531
body,25526
door,25360
voice,25297
across,25202
britain,25101
3,25040
person,24982
together,24960
main,24928
services,24923
care,24899
black,24897
book,24823
months,24818
turned,24664
using,24661
health,24643
sure,24593
white,24554
million,24550
words,24442
child,24396
period,24310
minister,24213
including,24124
several,24002
father,23980
society,23845
for_example,23829
seemed,23813
kind,23796
began,23749
god,23743
top,23734
start,23718
itself,23712
behind,23695
themselves,23673
wanted,23631
economic,23565
love,23456
means,23450
upon,23409
areas,23362
effect,23357
likely,23304
english,23258
city,23247
therefore,23218
woman,23213
position,23178
real,23176
centre,23175
south,23170
england,23170
community,23085
view,23023
gave,22946
hard,22925
job,22891
among,22864
staff,22721
read,22700
line,22689
process,22688
future,22649
particular,22357
provide,22321
present,22312
became,22308
taking,22278
international,22210
study,22183
moment,22146
run,22121
special,22114
result,22098
action,22096
difficult,22033
pay,22023
particularly,22009
sense,21935
age,21852
order,21812
management,21794
idea,21702
certain,21626
north,21620
light,21604
play,21594
sort,21516
so_that,21513
west,21493
rather_than,21478
evidence,21477
try,21393
close,21379
experience,21373
rather,21341
land,21330
third,21197
seems,21194
believe,21186
morning,21144
outside,21125
turn,21020
else,20919
free,20860
meeting,20801
leave,20696
cost,20612
church,20543
death,20526
sometimes,20517
thus,20488
training,20471
range,20427
move,20422
coming,20373
brought,20364
getting,20355
european,20353
ten,20274
matter,20235
shall,20234
heard,20209
table,20195
needs,20177
late,20068
4,20017
trade,19981
involved,19964
mrs,19844
industry,19835
whose,19833
ago,19808
century,19733
course,19691
street,19614
human,19584
united,19549
gone,19547
yesterday,19507
call,19482
lost,19420
ask,19399
word,19378
groups,19363
along,19335
central,19319
history,19308
few,19160
usually,19151
changes,19149
remember,19145
hundred,19108
individual,19084
programme,19071
air,19068
rate,19059
building,19039
sir,19005
food,18992
hands,18978
committee,18976
team,18918
hours,18884
indeed,18858
b,18826
language,18778
someone,18681
everything,18675
short,18648
certainly,18647
trying,18644
based,18640
section,18605
10,18570
saying,18503
lot,18482
price,18477
similar,18432
reason,18417
single,18404
minutes,18397
authority,18345
town,18306
cases,18275
common,18246
true,18238
data,18216
role,18210
subject,18197
europe,18166
class,18149
nature,18126
necessary,18107
states,18010
bank,17928
value,17878
companies,17834
because_of,17812
simply,17756
especially,17728
department,17714
hope,17713
east,17630
personal,17622
figure,17613
union,17607
total,17567
5,17557
cut,17515
member,17493
near,17484
started,17477
private,17414
paper,17361
seven,17350
patients,17330
uk,17321
type,17315
eight,17309
live,17278
systems,17275
french,17248
herself,17197
practice,17114
wife,17102
low,17011
seem,16991
talk,16978
former,16973
increase,16866
friend,16862
decision,16787
countries,16769
expected,16765
terms,16747
makes,16739
earlier,16699
return,16665
financial,16622
president,16600
stage,16565
wo,16560
needed,16533
c,16530
university,16483
lord,16469
club,16464
as_well_as,16462
issue,16454
required,16413
king,16386
american,16372
cos,16345
parents,16343
tax,16343
quality,16318
concerned,16292
higher,16273
date,16251
foreign,16234
approach,16217
rest,16203
ground,16195
strong,16124
wrong,16077
a_little,16053
living,16008
march,15997
situation,15978
comes,15968
provided,15921
p.,15906
soon,15903
account,15887
bed,15885
offer,15866
recent,15857
girl,15755
force,15752
na,15731
according_to,15722
david,15714
final,15647
twenty,15641
as_if,15633
secretary,15588
art,15582
led,15560
production,15555
various,15502
understand,15501
schools,15463
bad,15463
weeks,15461
bring,15455
greater,15452
conditions,15430
amount,15429
results,15405
added,15375
clearly,15349
at_all,15348
paid,15324
field,15296
costs,15221
project,15215
forward,15199
include,15183
tried,15181
stop,15172
decided,15163
red,15131
poor,15124
award,15114
front,15106
hospital,15104
friends,15088
shown,15029
music,15019
month,15010
game,15004
1990,14982
record,14976
plan,14970
anyone,14956
ways,14927
chapter,14904
goes,14880
followed,14880
described,14838
royal,14805
easy,14774
mr.,14756
workers,14723
april,14702
agreed,14692
planning,14670
green,14627
students,14601
despite,14592
june,14590
knowledge,14586
moved,14575
news,14557
lead,14551
sound,14542
works,14528
points,14471
hair,14453
deal,14439
basis,14439
answer,14421
questions,14401
series,14354
please,14351
allowed,14345
below,14335
natural,14315
inside,14309
kept,14306
current,14270
met,14223
fire,14103
meet,14102
feet,14100
running,13997
simple,13977
died,13974
happened,13904
manager,13846
hear,13844
computer,13841
security,13837
board,13826
evening,13821
structure,13791
carried,13785
bill,13738
heart,13729
sent,13714
test,13701
attention,13684
story,13676
written,13672
capital,13672
studies,13670
nine,13656
&amp,13629
letter,13599
hold,13596
share,13545
per,13538
material,13537
considered,13527
movement,13504
dark,13489
talking,13444
thinking,13443
6,13425
success,13399
1989,13376
a_bit,13344
everyone,13337
model,13334
chance,13303
boy,13289
agreement,13287
received,13276
stood,13265
alone,13261
analysis,13239
whatever,13236
fine,13225
nice,13185
population,13181
modern,13175
books,13153
de,13153
20,13139
theory,13129
press,13113
legal,13103
son,13101
scotland,13092
cause,13060
feeling,13058
sea,13043
increased,13032
environment,13020
finally,13014
performance,12993
rights,12990
growth,12982
bit,12978
authorities,12971
produced,12952
design,12938
whom,12926
middle,12923
relationship,12888
in_order,12878
built,12871
complete,12803
1991,12798
standard,12750
worked,12748
continued,12748
list,12737
giving,12707
parties,12699
size,12694
visit,12658
space,12646
key,12616
miss,12591
example,12572
property,12552
myself,12539
buy,12537
stay,12514
dead,12494
mark,12492
term,12491
st,12480
nor,12470
gon,12464
normal,12451
couple,12432
reached,12413
peter,12410
throughout,12403
serious,12402
developed,12384
quickly,12381
lower,12378
worth,12375
included,12351
france,12345
beginning,12320
behaviour,12316
recently,12300
previous,12286
pounds,12280
cup,12261
prime,12254
issues,12252
firm,12250
anyway,12232
cold,12220
okay,12217
energy,12212
treatment,12198
thank,12191
sat,12176
director,12171
hall,12147
wide,12128
levels,12115
scheme,12105
12,12102
choice,12095
significant,12073
income,12050
wall,12026
reported,12015
as_well,11985
pressure,11969
established,11955
contract,11930
july,11898
direct,11859
risk,11858
beyond,11830
wish,11825
takes,11823
details,11797
suddenly,11795
continue,11794
technology,11785
spent,11784
forces,11770
away_from,11756
ones,11754
won,11734
happy,11730
consider,11727
plans,11709
shows,11664
defence,11653
parts,11643
opened,11614
loss,11601
industrial,11599
activities,11597
produce,11594
soviet,11587
forms,11583
writing,11582
rates,11581
chairman,11571
generally,11568
teachers,11566
floor,11552
colour,11539
looks,11527
sun,11526
activity,11508
appropriate,11505
park,11497
association,11493
nearly,11492
changed,11486
allow,11464
hotel,11447
military,11442
army,11441
sorry,11435
attempt,11432
figures,11432
german,11425
30,11413
paul,11409
original,11392
chief,11371
county,11353
leading,11352
summer,11346
village,11340
difference,11335
hour,11334
meant,11329
numbers,11321
claim,11319
specific,11313
rose,11280
played,11262
husband,11245
basic,11226
relations,11217
potential,11210
dr,11207
garden,11189
reports,11167
professional,11160
arms,11138
fall,11119
cover,11118
product,11111
suggested,11104
ideas,11096
george,11087
stand,11061
male,11047
obviously,11014
unless,11011
appeal,11002
demand,10990
season,10976
access,10935
rules,10935
unit,10920
15,10915
appear,10913
northern,10911
investment,10903
reading,10901
fish,10891
picture,10888
write,10877
playing,10875
page,10870
independent,10853
reasons,10850
effects,10824
benefit,10804
successful,10803
aware,10764
each_other,10759
published,10756
yourself,10746
shop,10743
exactly,10729
passed,10712
style,10711
offered,10710
suppose,10709
showed,10705
fell,10700
deep,10699
7,10676
employment,10676
appeared,10666
miles,10665
germany,10632
october,10628
products,10609
popular,10600
science,10597
note,10596
s,10586
window,10584
expect,10583
win,10581
rise,10576
interests,10555
more_than,10545
